key,name,built_form_category,du_per_acre,pop_per_acre,hh_per_acre,emp_per_acre,du_detsf_sl_per_acre,du_detsf_ll_per_acre,du_attsf_per_acre,du_mf2to4_per_acre,du_mf5p_per_acre,emp_ret_per_acre,emp_off_per_acre,emp_pub_per_acre,emp_ind_per_acre,emp_ag_per_acre,intersection_density,building_sqft_per_acre,footprint_ratio,max_levels,area_parcel_res,area_parcel_emp,area_parcel_mixed_use,is_active
bt__mid_rise_residential,Mid-Rise Residential,Residential,241.4681623,405.2735633,226.134934,28.41667389,0.0,0.0,0.0,241.4681623,0.0,17.45448423,10.96218966,0.0,0.0,0.0,0.0,213175.70524437,0.0,1,0.1,0.0,0.9,TRUE
bt__urban_podium_multifamily,Urban Podium Multifamily,Residential,133.8127199,234.4284004,125.3156121,16.96939191,0.0,0.0,0.0,133.8127199,0.0,16.96939191,0.0,0.0,0.0,0.0,0.0,120356.1079404,0.0,1,0.45,0.0,0.55,TRUE
bt__standard_podium_multifamily,Standard Podium Multifamily,Residential,65.25713552,132.3291038,61.11330741,6.636323934,0.0,0.0,0.0,65.25713552,0.0,6.636323934,0.0,0.0,0.0,0.0,0.0,72536.23388049999,0.0,1,0.45,0.0,0.55,TRUE
bt__suburban_multifamily,Suburban Multifamily,Residential,44.33940541,85.87115779,41.52385317,0.0,0.0,0.0,0.0,44.33940541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36137.376,0.0,1,1.0,0.0,0.0,TRUE
bt__urban_townhome_live_work,Urban Townhome/Live-Work,Residential,35.45684244,75.7844289,33.99956621,18.16714286,0.0,0.0,35.45684244,0.0,0.0,0.0,18.16714286,0.0,0.0,0.0,0.0,64687.14,0.0,1,1.0,0.0,0.0,TRUE
bt__suburban_townhome,Suburban Townhome,Residential,20.26168391,47.44633275,19.53219245,0.0,0.0,0.0,20.26168391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34429.56,0.0,1,1.0,0.0,0.0,TRUE
bt__garden_apartment,Garden Apartment,Residential,25.59604962,56.34609582,24.54405198,0.0,0.0,0.0,25.59604962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40706.26069,0.0,1,1.0,0.0,0.0,TRUE
bt__very_small_lot_sf_detached,Very Small Lot SF Detached,Residential,15.92356688,37.64904459,15.42993631,0.0,15.92356688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30891.71975,0.0,1,1.0,0.0,0.0,TRUE
bt__small_lot_sf_detached,Small Lot SF Detached,Residential,10.57059835,26.38552209,10.2429098,0.0,10.57059835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25374.38473,0.0,1,1.0,0.0,0.0,TRUE
bt__medium_lot_sf_detached,Medium Lot SF Detached,Residential,8.0784,21.15700646,7.8279696,0.0,8.0784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18786.24,0.0,1,1.0,0.0,0.0,TRUE
bt__large_lot_sf_detached,Large Lot SF Detached,Residential,5.796773646,18.30248551,5.617073663,0.0,0.0,5.796773646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21313.97003,0.0,1,1.0,0.0,0.0,TRUE
bt__estate_lot_sf_detached,Estate Lot SF Detached,Residential,3.396220133,10.11436126,3.290937309,0.0,0.0,3.396220133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13962.77373,0.0,1,1.0,0.0,0.0,TRUE
bt__rural_residential_lot_sf_detached,Rural Residential Lot SF Detached,Residential,0.532394748,1.569243263,0.515890511,0.0,0.0,0.532394748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.901504,0.0,1,1.0,0.0,0.0,TRUE
bt__rural_ranchette_lot_sf_detached,Rural Ranchette Lot SF Detached,Residential,0.158466817,0.472251603,0.153554346,0.0,0.0,0.158466817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.633859,0.0,1,1.0,0.0,0.0,TRUE
bt__skyscraper_office,Skyscraper Office,Office/Industrial,0.0,0.0,0.0,2829.693151,0.0,0.0,0.0,0.0,0.0,136.3182512,2693.3749,0.0,0.0,0.0,0.0,741543.660022,1.0,1,0.0,1.0,0.0,TRUE
bt__high_rise_office,High-Rise Office,Office/Industrial,0.0,0.0,0.0,1698.110099,0.0,0.0,0.0,0.0,0.0,31.73710647,1666.372993,0.0,0.0,0.0,0.0,431557.63195799995,1.0,1,0.0,1.0,0.0,TRUE
bt__mid_rise_office,Mid-Rise Office,Office/Industrial,0.0,0.0,0.0,597.0686781,0.0,0.0,0.0,0.0,0.0,8.87296753,588.1957106,0.0,0.0,0.0,0.0,156423.9600327,1.0,1,0.0,1.0,0.0,TRUE
bt__low_rise_office,Low-Rise Office,Office/Industrial,0.0,0.0,0.0,251.2962469,0.0,0.0,0.0,0.0,0.0,14.69060844,236.6056384,0.0,0.0,0.0,0.0,75887.1828035,1.0,1,0.0,1.0,0.0,TRUE
bt__main_street_commercial_low,Main Street Commercial Low,Commercial/Retail,0.0,0.0,0.0,40.80970431,0.0,0.0,0.0,0.0,0.0,32.65699816,8.152706146,0.0,0.0,0.0,0.0,24418.6562638,0.6,1,0.0,0.6,0.4,TRUE
